MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
9,FAIL
10,FAIL
13,FAIL
14,FAIL
15,EXC
17,FAIL
19,FAIL
21,FAIL
23,EXC
26,EXC
28,LIVE
29,FAIL
30,LIVE
31,FAIL
32,FAIL
33,FAIL
34,LIVE
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
48,EXC
49,FAIL
50,EXC
51,FAIL
52,EXC
53,FAIL
54,FAIL
55,FAIL
56,FAIL
59,FAIL
60,FAIL
61,FAIL
69,LIVE
70,EXC
71,EXC
72,LIVE
73,EXC
74,EXC
75,EXC
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,LIVE
104,FAIL
105,FAIL
106,LIVE
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,LIVE
118,FAIL
119,FAIL
120,LIVE
121,FAIL
122,FAIL
123,FAIL
124,EXC
133,EXC
134,FAIL
135,FAIL
136,EXC
137,FAIL
138,LIVE
139,EXC
140,FAIL
141,EXC
142,FAIL
143,EXC
144,FAIL
145,EXC
146,EXC
147,EXC
148,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,LIVE
174,FAIL
