MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
9,FAIL
10,FAIL
13,FAIL
14,FAIL
15,EXC
17,FAIL
19,FAIL
21,FAIL
23,EXC
26,EXC
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
48,EXC
49,FAIL
50,EXC
51,FAIL
52,EXC
53,FAIL
54,FAIL
55,FAIL
56,FAIL
59,FAIL
60,FAIL
61,FAIL
68,LIVE
69,EXC
70,EXC
71,LIVE
72,EXC
73,EXC
74,EXC
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,LIVE
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,FAIL
118,FAIL
119,FAIL
120,FAIL
121,FAIL
122,FAIL
123,EXC
132,EXC
133,FAIL
134,FAIL
135,EXC
136,FAIL
137,LIVE
138,EXC
139,FAIL
140,EXC
141,FAIL
142,EXC
143,FAIL
144,EXC
145,EXC
146,EXC
147,FAIL
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,LIVE
173,FAIL
