CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
12178,1,3143,37,59,59,37,13,24,0,62,59
12178,2,1,0,0,0,37,13,24,0,62,59
12225,3,5,4,7,23,41,16,25,0,58,66
12472,4,11,12,31,52,53,25,28,0,46,97
12485,5,4,0,3,23,53,25,28,0,46,100
12568,6,3,11,17,31,64,36,28,0,35,117
15314,7,99,18,30,73,82,54,28,0,17,147
15808,8,80,3,4,7,85,57,28,0,14,151
15817,9,3,1,2,5,86,58,28,0,13,153
15817,10,37,0,0,0,86,58,28,0,13,153
20423,11,520,0,9,73,86,58,28,0,13,162
20423,12,4,0,0,0,86,58,28,0,13,162
