MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
9,EXC
10,EXC
13,FAIL
14,FAIL
15,EXC
17,EXC
19,EXC
21,FAIL
23,EXC
26,EXC
28,LIVE
29,FAIL
30,LIVE
31,FAIL
32,FAIL
33,FAIL
34,LIVE
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
48,EXC
49,FAIL
50,EXC
51,FAIL
52,EXC
53,FAIL
54,EXC
55,EXC
56,FAIL
58,LIVE
59,FAIL
60,FAIL
61,EXC
68,LIVE
69,EXC
70,EXC
71,LIVE
72,EXC
73,EXC
74,EXC
98,EXC
123,EXC
132,EXC
133,FAIL
134,FAIL
135,EXC
136,FAIL
137,LIVE
138,EXC
139,FAIL
140,EXC
141,FAIL
142,EXC
143,FAIL
144,EXC
145,EXC
146,EXC
147,FAIL
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,LIVE
173,FAIL
